Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
AALR3,ALLIAR,AALR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24058,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AALR3,https://www.google.com/search?q=ALLIAR Análises e Diagnósticos,Análises e Diagnósticos,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABCB4,ABC BRASIL,ABCB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20958,BCO ABC BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ABCB4,https://www.google.com/search?q=ABC BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
ABEV3,AMBEV S/A,ABEV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23264,AMBEV S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ABEV3,https://www.google.com/search?q=AMBEV S/A Cervejas e Refrigerantes,Cervejas e Refrigerantes,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
AERI3,AERIS,AERI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25283&idioma=pt-br,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,https://br.tradingview.com/symbols/BMFBOVESPA-AERI3,https://www.google.com/search?q=AERIS Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
AFLT3,AFLUENTE T,AFLT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22179,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,https://br.tradingview.com/symbols/BMFBOVESPA-AFLT3,https://www.google.com/search?q=AFLUENTE T Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,BRASILAGRO,AGRO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20036,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,https://br.tradingview.com/symbols/BMFBOVESPA-AGRO3,https://www.google.com/search?q=BRASILAGRO Agricultura,Agricultura,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB3,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB5,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB5,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB6,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB6,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALEF3B,ALEF S/A,ALEF,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16705,ALEF S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALEF3B,https://www.google.com/search?q=ALEF S/A Outros,Outros,Outros,Outros,Outros
ALPA3,ALPARGATAS,ALPA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10456,ALPARGATAS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALPA3,https://www.google.com/search?q=ALPARGATAS Calçados,Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPA4,ALPARGATAS,ALPA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10456,ALPARGATAS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALPA4,https://www.google.com/search?q=ALPARGATAS Calçados,Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPK3,ESTAPAR,ALPK,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24953&idioma=pt-br,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,https://br.tradingview.com/symbols/BMFBOVESPA-ALPK3,https://www.google.com/search?q=ESTAPAR Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
ALSO3,ALIANSCSONAE,ALSO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22357,ALIANSCE SONAE SHOPPING CENTERS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALSO3,https://www.google.com/search?q=ALIANSCSONAE Exploração de Imóveis,Exploração de Imóveis,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP11,ALUPAR,ALUP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490,ALUPAR INVESTIMENTO S/A,https://br.tradingview.com/symbols/BMFBOVESPA-ALUP3,https://www.google.com/search?q=ALUPAR Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP3,ALUPAR,ALUP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490,ALUPAR INVESTIMENTO S/A,https://br.tradingview.com/symbols/BMFBOVESPA-ALUP3,https://www.google.com/search?q=ALUPAR Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
